,Vote,Country,Name,First,Second,Third
188,Coach,Cyprus,Ran Ben Shimon,Messi Lionel,Cristiano Ronaldo,Aubameyang Pierre-Emerick
189,Coach,Czech Republic,Jarolím Karel,Cristiano Ronaldo,Kroos Toni,Neymar
190,Coach,Denmark,Hareide Åge,Cristiano Ronaldo,Messi Lionel,Ibrahimovic Zlatan
191,Coach,Djibouti,Khassoum Moussa,Cristiano Ronaldo,Messi Lionel,Marcelo
192,Coach,Dominica,Latchoo Rajesh,Cristiano Ronaldo,Navas Keylor,Marcelo
193,Coach,Dominican Republic,Mojica Juan,Cristiano Ronaldo,Messi Lionel,Neymar
194,Coach,Ecuador,Quinteros Gustavo Domingo,Cristiano Ronaldo,Vidal Arturo,Buffon Gianluigi
195,Coach,Egypt,Cuper Hector,Messi Lionel,Cristiano Ronaldo,Neymar
196,Coach,El Salvador,Lara Lozano Eduardo,Cristiano Ronaldo,Messi Lionel,Neymar
197,Coach,England,Southgate Gareth,Cristiano Ronaldo,Modric Luka,Kroos Toni
198,Coach,Estonia,Reim Martin,Cristiano Ronaldo,Hazard Eden,Buffon Gianluigi
199,Coach,Ethiopia,Zerihun Shengeta,Cristiano Ronaldo,Messi Lionel,Kanté N'Golo
200,Coach,Faroe Islands,Olsen Lars,Cristiano Ronaldo,Messi Lionel,Buffon Gianluigi
201,Coach,Finland,Kanerva Markku,Cristiano Ronaldo,Bonucci Leonardo,Messi Lionel
202,Coach,France,Deschamps Didier,Cristiano Ronaldo,Neymar,Buffon Gianluigi
203,Coach,FYR Macedonia,Angelovski Igor,Cristiano Ronaldo,Messi Lionel,Buffon Gianluigi
204,Coach,Gabon,Camacho Alfaro Jose Antonio,Cristiano Ronaldo,Messi Lionel,Ramos Sergio
205,Coach,Gambia,Ndong Sang,Cristiano Ronaldo,Kanté N'Golo,Aubameyang Pierre-Emerick
206,Coach,Georgia,Weiss Vladimir,Messi Lionel,Cristiano Ronaldo,Modric Luka
207,Coach,Germany,Löw Joachim,Kroos Toni,Neuer Manuel,Neymar
208,Coach,Gibraltar,Wood Jeff,Cristiano Ronaldo,Kanté N'Golo,Messi Lionel
209,Coach,Greece,Skibbe Michael Heinz,Kroos Toni,Hazard Eden,Aubameyang Pierre-Emerick
210,Coach,Guinea-Bissau,Candé Baciro,Cristiano Ronaldo,Messi Lionel,Aubameyang Pierre-Emerick
211,Coach,Honduras,Pinto Afanador Jorge Luis,Cristiano Ronaldo,Neymar,Ramos Sergio
212,Coach,Hong Kong,Kim Pangon,Cristiano Ronaldo,Messi Lionel,Ramos Sergio
213,Coach,Hungary,Storck Bernd,Cristiano Ronaldo,Kroos Toni,Neymar
214,Coach,Iceland,Hallgrimsson Heimir,Cristiano Ronaldo,Neymar,Buffon Gianluigi
215,Coach,India,Constantine Stephen Philip,Aubameyang Pierre-Emerick,Kanté N'Golo,Kroos Toni
216,Coach,Indonesia,Milla Aspas Luis,Messi Lionel,Neymar,Iniesta Andrés
217,Coach,Iran,Queiroz Carlos,Cristiano Ronaldo,Messi Lionel,Neymar
218,Coach,Iraq,Basim Qasim,Cristiano Ronaldo,Neuer Manuel,Neymar
219,Coach,Israel,Levy Elish,Cristiano Ronaldo,Ramos Sergio,Aubameyang Pierre-Emerick
220,Coach,Italy,Ventura Giampiero,Cristiano Ronaldo,Buffon Gianluigi,Messi Lionel
221,Coach,Jamaica,Whitmore Theodore,Neymar,Ramos Sergio,Vidal Arturo
222,Coach,Japan,Halilhodzic Vahid,Cristiano Ronaldo,Messi Lionel,Neymar
223,Coach,Jordan,Mesfer Abdulla,Cristiano Ronaldo,Messi Lionel,Dybala Paulo
224,Coach,Kazakhstan,Borodyuk Aleksandr,Messi Lionel,Cristiano Ronaldo,Kroos Toni
225,Coach,Korea Republic,Shin Taeyong,Messi Lionel,Buffon Gianluigi,Cristiano Ronaldo
226,Coach,Kosovo,Bunjaku Albert,Cristiano Ronaldo,Modric Luka,Messi Lionel
227,Coach,Kyrgyz Republic,Krestinin Alexander,Cristiano Ronaldo,Neymar,Kanté N'Golo
